Created as New Dataset,
nm,%T
800.0,90.27
798.0,90.08
796.0,89.93
794.0,89.71
792.0,89.58
790.0,89.40
788.0,89.27
786.0,89.15
784.0,89.04
782.0,88.94
780.0,88.78
778.0,88.60
776.0,88.51
774.0,88.35
772.0,88.16
770.0,87.93
768.0,87.71
766.0,87.45
764.0,87.13
762.0,86.74
760.0,86.29
758.0,85.82
756.0,85.26
754.0,84.60
752.0,83.88
750.0,83.04
748.0,82.16
746.0,81.14
744.0,80.07
742.0,78.92
740.0,77.65
738.0,76.35
736.0,74.98
734.0,73.54
732.0,72.06
730.0,70.53
728.0,68.99
726.0,67.43
724.0,65.82
722.0,64.24
720.0,62.63
718.0,61.03
716.0,59.45
714.0,57.86
712.0,56.29
710.0,54.71
708.0,53.19
706.0,51.68
704.0,50.19
702.0,48.72
700.0,47.27
698.0,45.85
696.0,44.46
694.0,43.09
692.0,41.75
690.0,40.45
688.0,39.19
686.0,38.00
684.0,36.83
682.0,35.71
680.0,34.63
678.0,33.60
676.0,32.64
674.0,31.71
672.0,30.84
670.0,30.02
668.0,29.26
666.0,28.56
664.0,27.91
662.0,27.30
660.0,26.75
658.0,26.26
656.0,25.81
654.0,25.41
652.0,25.05
650.0,24.74
648.0,24.47
646.0,24.24
644.0,24.04
642.0,23.88
640.0,23.74
638.0,23.63
636.0,23.54
634.0,23.48
632.0,23.43
630.0,23.39
628.0,23.37
626.0,23.37
624.0,23.39
622.0,23.41
620.0,23.45
618.0,23.50
616.0,23.57
614.0,23.66
612.0,23.77
610.0,23.90
608.0,24.06
606.0,24.25
604.0,24.47
602.0,24.70
600.0,24.98
598.0,25.27
596.0,25.59
594.0,25.92
592.0,26.26
590.0,26.59
588.0,26.92
586.0,27.23
584.0,27.49
582.0,27.72
580.0,27.89
578.0,28.00
576.0,28.04
574.0,28.01
572.0,27.93
570.0,27.79
568.0,27.61
566.0,27.40
564.0,27.19
562.0,26.98
560.0,26.80
558.0,26.67
556.0,26.60
554.0,26.60
552.0,26.67
550.0,26.83
548.0,27.06
546.0,27.37
544.0,27.74
542.0,28.17
540.0,28.63
538.0,29.12
536.0,29.61
534.0,30.11
532.0,30.60
530.0,31.06
528.0,31.51
526.0,31.94
524.0,32.37
522.0,32.81
520.0,33.24
518.0,33.67
516.0,34.10
514.0,34.53
512.0,34.90
510.0,35.20
508.0,35.38
506.0,35.39
504.0,35.17
502.0,34.68
500.0,33.93
498.0,32.93
496.0,31.74
494.0,30.46
492.0,29.22
490.0,28.12
488.0,27.23
486.0,26.58
484.0,26.22
482.0,26.28
480.0,26.57
478.0,26.72
476.0,26.72
474.0,26.63
472.0,26.48
470.0,26.26
468.0,25.96
466.0,25.57
464.0,25.09
462.0,24.52
460.0,23.89
458.0,23.18
456.0,22.43
454.0,21.62
452.0,20.79
450.0,19.94
448.0,19.09
446.0,18.24
444.0,17.55
442.0,17.04
440.0,16.62
438.0,16.27
436.0,15.99
434.0,15.77
432.0,15.57
430.0,15.35
428.0,15.05
426.0,14.60
424.0,13.94
422.0,13.07
420.0,11.97
418.0,10.62
416.0,9.04
414.0,7.26
412.0,5.41
410.0,3.64
408.0,2.15
406.0,1.07
404.0,0.43
402.0,0.14
400.0,0.04
398.0,0.01
396.0,0.01
394.0,0.01
392.0,0.01
390.0,0.01
388.0,0.01
386.0,0.01
384.0,0.01
382.0,0.01
380.0,0.01
378.0,0.00
376.0,0.00
374.0,0.00
372.0,0.00
370.0,0.00
368.0,0.00
366.0,0.00
364.0,0.00
362.0,0.00
360.0,0.00
358.0,0.00
356.0,0.00
354.0,0.01
352.0,0.01
350.0,0.01
348.0,0.01
346.0,0.01
344.0,0.01
342.0,0.01
340.0,0.01
338.0,0.01
336.0,0.01
334.0,0.01
332.0,0.01
330.0,0.01
328.0,0.01
326.0,0.01
324.0,0.01
322.0,0.01
320.0,0.02
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
248.0,0.00
246.0,0.00
244.0,0.00
242.0,0.00
240.0,0.00
238.0,0.00
236.0,0.00
234.0,0.00
232.0,0.00
230.0,0.00
228.0,0.00
226.0,0.00
224.0,0.00
222.0,0.00
220.0,0.00
218.0,0.00
216.0,0.00
214.0,0.00
212.0,0.00
210.0,0.00
208.0,0.01
206.0,0.01
204.0,0.01
202.0,0.01
200.0,0.02
