Created as New Dataset,
nm,%T
800.0,51.53
798.0,52.69
796.0,54.42
794.0,56.63
792.0,59.25
790.0,61.96
788.0,64.20
786.0,65.85
784.0,67.03
782.0,67.82
780.0,68.29
778.0,68.41
776.0,68.25
774.0,67.78
772.0,67.12
770.0,66.21
768.0,65.09
766.0,63.69
764.0,62.11
762.0,60.32
760.0,58.19
758.0,55.58
756.0,52.49
754.0,49.35
752.0,46.27
750.0,43.62
748.0,42.77
746.0,43.35
744.0,42.61
742.0,40.96
740.0,40.29
738.0,40.58
736.0,43.57
734.0,48.68
732.0,52.94
730.0,55.34
728.0,56.37
726.0,56.71
724.0,56.70
722.0,56.56
720.0,56.34
718.0,56.06
716.0,55.78
714.0,55.46
712.0,55.15
710.0,54.79
708.0,54.45
706.0,54.07
704.0,53.68
702.0,53.26
700.0,52.81
698.0,52.30
696.0,51.76
694.0,51.12
692.0,50.38
690.0,49.59
688.0,48.77
686.0,47.95
684.0,47.28
682.0,46.97
680.0,46.69
678.0,46.30
676.0,45.88
674.0,45.40
672.0,44.90
670.0,44.42
668.0,43.95
666.0,43.46
664.0,42.88
662.0,42.13
660.0,41.41
658.0,40.89
656.0,40.54
654.0,40.13
652.0,39.62
650.0,39.50
648.0,39.73
646.0,39.97
644.0,40.26
642.0,40.57
640.0,40.68
638.0,40.72
636.0,40.75
634.0,40.75
632.0,40.73
630.0,40.72
628.0,40.77
626.0,40.82
624.0,40.86
622.0,40.93
620.0,41.03
618.0,41.04
616.0,40.86
614.0,40.37
612.0,39.57
610.0,38.75
608.0,38.12
606.0,37.48
604.0,36.55
602.0,35.17
600.0,33.52
598.0,31.64
596.0,29.05
594.0,25.73
592.0,22.90
590.0,20.76
588.0,18.30
586.0,16.26
584.0,17.05
582.0,20.55
580.0,23.01
578.0,22.75
576.0,21.77
574.0,21.22
572.0,23.10
570.0,30.13
568.0,38.91
566.0,44.30
564.0,46.63
562.0,47.75
560.0,48.42
558.0,48.91
556.0,49.33
554.0,49.71
552.0,49.98
550.0,50.03
548.0,49.84
546.0,49.73
544.0,49.95
542.0,50.07
540.0,49.62
538.0,48.34
536.0,46.13
534.0,43.56
532.0,41.91
530.0,41.34
528.0,41.01
526.0,39.48
524.0,36.10
522.0,32.64
520.0,31.59
518.0,35.32
516.0,41.87
514.0,45.05
512.0,45.58
510.0,46.46
508.0,47.09
506.0,47.07
504.0,46.53
502.0,45.63
500.0,44.43
498.0,42.93
496.0,41.17
494.0,39.25
492.0,37.11
490.0,34.73
488.0,32.59
486.0,30.82
484.0,29.13
482.0,28.23
480.0,28.75
478.0,30.08
476.0,31.17
474.0,31.01
472.0,30.48
470.0,30.38
468.0,30.47
466.0,30.41
464.0,30.17
462.0,29.95
460.0,29.78
458.0,29.48
456.0,28.81
454.0,27.65
452.0,26.22
450.0,24.76
448.0,23.33
446.0,22.27
444.0,21.65
442.0,21.21
440.0,21.02
438.0,21.28
436.0,21.92
434.0,22.67
432.0,23.12
430.0,23.88
428.0,24.60
426.0,24.61
424.0,24.13
422.0,23.43
420.0,22.49
418.0,21.29
416.0,19.77
414.0,17.88
412.0,15.64
410.0,13.07
408.0,10.29
406.0,7.58
404.0,5.12
402.0,3.07
400.0,1.61
398.0,0.72
396.0,0.26
394.0,0.08
392.0,0.02
390.0,0.01
388.0,0.01
386.0,0.01
384.0,0.01
382.0,0.01
380.0,0.01
378.0,0.00
376.0,0.00
374.0,0.00
372.0,0.00
370.0,0.00
368.0,0.00
366.0,0.00
364.0,0.00
362.0,0.00
360.0,0.00
358.0,0.00
356.0,0.00
354.0,0.00
352.0,0.01
350.0,0.01
348.0,0.01
346.0,0.01
344.0,0.01
342.0,0.01
340.0,0.01
338.0,0.01
336.0,0.01
334.0,0.01
332.0,0.01
330.0,0.01
328.0,0.01
326.0,0.01
324.0,0.01
322.0,0.01
320.0,0.02
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
248.0,0.00
246.0,0.00
244.0,0.00
242.0,0.00
240.0,0.00
238.0,0.00
236.0,0.00
234.0,0.00
232.0,0.00
230.0,0.00
228.0,0.00
226.0,0.00
224.0,0.00
222.0,0.00
220.0,0.00
218.0,0.00
216.0,0.00
214.0,0.00
212.0,0.00
210.0,0.00
208.0,0.00
206.0,0.01
204.0,0.01
202.0,0.01
200.0,0.02
