Created as New Dataset,
nm,%T
800.0,20.90
798.0,20.55
796.0,20.39
794.0,20.34
792.0,20.38
790.0,20.37
788.0,20.16
786.0,19.74
784.0,19.16
782.0,18.48
780.0,17.72
778.0,16.92
776.0,16.09
774.0,15.26
772.0,14.43
770.0,13.63
768.0,12.85
766.0,12.09
764.0,11.37
762.0,10.68
760.0,10.00
758.0,9.30
756.0,8.57
754.0,7.90
752.0,7.29
750.0,6.77
748.0,6.57
746.0,6.60
744.0,6.45
742.0,6.18
740.0,6.06
738.0,6.10
736.0,6.56
734.0,7.33
732.0,7.99
730.0,8.38
728.0,8.58
726.0,8.67
724.0,8.72
722.0,8.74
720.0,8.77
718.0,8.78
716.0,8.79
714.0,8.80
712.0,8.81
710.0,8.82
708.0,8.83
706.0,8.84
704.0,8.83
702.0,8.83
700.0,8.82
698.0,8.80
696.0,8.77
694.0,8.73
692.0,8.67
690.0,8.60
688.0,8.53
686.0,8.44
684.0,8.39
682.0,8.40
680.0,8.41
678.0,8.40
676.0,8.38
674.0,8.35
672.0,8.32
670.0,8.29
668.0,8.26
666.0,8.22
664.0,8.16
662.0,8.08
660.0,8.00
658.0,7.95
656.0,7.93
654.0,7.89
652.0,7.84
650.0,7.87
648.0,7.96
646.0,8.06
644.0,8.16
642.0,8.27
640.0,8.34
638.0,8.39
636.0,8.44
634.0,8.48
632.0,8.51
630.0,8.56
628.0,8.60
626.0,8.65
624.0,8.69
622.0,8.74
620.0,8.80
618.0,8.83
616.0,8.82
614.0,8.74
612.0,8.59
610.0,8.44
608.0,8.32
606.0,8.20
604.0,8.01
602.0,7.72
600.0,7.36
598.0,6.96
596.0,6.39
594.0,5.67
592.0,5.05
590.0,4.57
588.0,4.03
586.0,3.58
584.0,3.75
582.0,4.50
580.0,5.01
578.0,4.94
576.0,4.70
574.0,4.56
572.0,4.94
570.0,6.39
568.0,8.17
566.0,9.21
564.0,9.60
562.0,9.73
560.0,9.77
558.0,9.74
556.0,9.68
554.0,9.61
552.0,9.49
550.0,9.32
548.0,9.09
546.0,8.86
544.0,8.66
542.0,8.43
540.0,8.07
538.0,7.57
536.0,6.93
534.0,6.23
532.0,5.67
530.0,5.26
528.0,4.88
526.0,4.37
524.0,3.70
522.0,3.06
520.0,2.71
518.0,2.76
516.0,3.02
514.0,3.05
512.0,2.94
510.0,2.96
508.0,3.08
506.0,3.32
504.0,3.70
502.0,4.26
500.0,4.99
498.0,5.83
496.0,6.72
494.0,7.54
492.0,8.13
490.0,8.37
488.0,8.33
486.0,8.01
484.0,7.31
482.0,6.31
480.0,5.39
478.0,4.82
476.0,4.39
474.0,3.86
472.0,3.37
470.0,3.03
468.0,2.82
466.0,2.70
464.0,2.70
462.0,2.83
460.0,3.09
458.0,3.43
456.0,3.80
454.0,4.13
452.0,4.41
450.0,4.63
448.0,4.81
446.0,5.03
444.0,5.10
442.0,5.02
440.0,4.98
438.0,5.07
436.0,5.27
434.0,5.49
432.0,5.64
430.0,5.87
428.0,6.09
426.0,6.14
424.0,6.06
422.0,5.92
420.0,5.72
418.0,5.45
416.0,5.09
414.0,4.63
412.0,4.07
410.0,3.41
408.0,2.69
406.0,1.99
404.0,1.35
402.0,0.81
400.0,0.43
398.0,0.19
396.0,0.07
394.0,0.03
392.0,0.01
390.0,0.01
388.0,0.01
386.0,0.01
384.0,0.01
382.0,0.01
380.0,0.01
378.0,0.00
376.0,0.00
374.0,0.00
372.0,0.00
370.0,0.00
368.0,0.00
366.0,0.00
364.0,0.00
362.0,0.00
360.0,0.00
358.0,0.00
356.0,0.00
354.0,0.01
352.0,0.01
350.0,0.01
348.0,0.01
346.0,0.01
344.0,0.01
342.0,0.01
340.0,0.01
338.0,0.01
336.0,0.01
334.0,0.01
332.0,0.01
330.0,0.01
328.0,0.01
326.0,0.01
324.0,0.01
322.0,0.01
320.0,0.01
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
248.0,0.00
246.0,0.00
244.0,0.00
242.0,0.00
240.0,0.00
238.0,0.00
236.0,0.00
234.0,0.00
232.0,0.00
230.0,0.00
228.0,0.00
226.0,0.00
224.0,0.00
222.0,0.00
220.0,0.00
218.0,0.00
216.0,0.00
214.0,0.00
212.0,0.00
210.0,0.00
208.0,0.01
206.0,0.01
204.0,0.01
202.0,0.01
200.0,0.02
