Created as New Dataset,
nm,%T
800.0,87.34
798.0,87.04
796.0,86.75
794.0,86.33
792.0,85.90
790.0,85.45
788.0,84.94
786.0,84.40
784.0,83.84
782.0,83.21
780.0,82.52
778.0,81.77
776.0,80.96
774.0,80.08
772.0,79.16
770.0,78.05
768.0,77.00
766.0,75.84
764.0,74.56
762.0,73.17
760.0,71.66
758.0,70.09
756.0,68.38
754.0,66.53
752.0,64.57
750.0,62.46
748.0,60.29
746.0,57.99
744.0,55.63
742.0,53.19
740.0,50.73
738.0,48.26
736.0,45.83
734.0,43.47
732.0,41.18
730.0,38.98
728.0,36.94
726.0,35.03
724.0,33.25
722.0,31.63
720.0,30.16
718.0,28.82
716.0,27.62
714.0,26.51
712.0,25.50
710.0,24.56
708.0,23.72
706.0,22.93
704.0,22.19
702.0,21.49
700.0,20.82
698.0,20.18
696.0,19.58
694.0,18.99
692.0,18.41
690.0,17.86
688.0,17.34
686.0,16.84
684.0,16.35
682.0,15.88
680.0,15.44
678.0,15.01
676.0,14.61
674.0,14.23
672.0,13.87
670.0,13.53
668.0,13.22
666.0,12.93
664.0,12.66
662.0,12.41
660.0,12.19
658.0,11.98
656.0,11.80
654.0,11.64
652.0,11.50
650.0,11.38
648.0,11.28
646.0,11.19
644.0,11.13
642.0,11.07
640.0,11.03
638.0,11.00
636.0,10.98
634.0,10.98
632.0,10.98
630.0,10.98
628.0,10.99
626.0,11.01
624.0,11.03
622.0,11.05
620.0,11.08
618.0,11.11
616.0,11.16
614.0,11.20
612.0,11.26
610.0,11.32
608.0,11.40
606.0,11.49
604.0,11.59
602.0,11.71
600.0,11.84
598.0,11.98
596.0,12.13
594.0,12.28
592.0,12.44
590.0,12.61
588.0,12.76
586.0,12.90
584.0,13.03
582.0,13.13
580.0,13.20
578.0,13.24
576.0,13.25
574.0,13.22
572.0,13.16
570.0,13.06
568.0,12.94
566.0,12.80
564.0,12.65
562.0,12.48
560.0,12.32
558.0,12.19
556.0,12.08
554.0,12.00
552.0,11.95
550.0,11.93
548.0,11.93
546.0,11.96
544.0,12.02
542.0,12.09
540.0,12.17
538.0,12.25
536.0,12.32
534.0,12.38
532.0,12.42
530.0,12.44
528.0,12.45
526.0,12.43
524.0,12.41
522.0,12.38
520.0,12.35
518.0,12.34
516.0,12.34
514.0,12.38
512.0,12.44
510.0,12.53
508.0,12.65
506.0,12.79
504.0,12.96
502.0,13.15
500.0,13.35
498.0,13.56
496.0,13.73
494.0,13.85
492.0,13.90
490.0,13.84
488.0,13.68
486.0,13.42
484.0,13.05
482.0,12.53
480.0,11.95
478.0,11.48
476.0,11.09
474.0,10.75
472.0,10.45
470.0,10.19
468.0,9.96
466.0,9.77
464.0,9.60
462.0,9.46
460.0,9.35
458.0,9.27
456.0,9.19
454.0,9.12
452.0,9.05
450.0,8.96
448.0,8.86
446.0,8.74
444.0,8.57
442.0,8.35
440.0,8.17
438.0,8.02
436.0,7.89
434.0,7.78
432.0,7.68
430.0,7.57
428.0,7.43
426.0,7.23
424.0,6.95
422.0,6.55
420.0,6.03
418.0,5.37
416.0,4.58
414.0,3.66
412.0,2.71
410.0,1.81
408.0,1.06
406.0,0.52
404.0,0.21
402.0,0.07
400.0,0.02
398.0,0.01
396.0,0.01
394.0,0.01
392.0,0.01
390.0,0.01
388.0,0.01
386.0,0.01
384.0,0.01
382.0,0.01
380.0,0.01
378.0,0.00
376.0,0.00
374.0,0.00
372.0,0.00
370.0,0.00
368.0,0.00
366.0,0.00
364.0,0.00
362.0,0.00
360.0,0.00
358.0,0.00
356.0,0.00
354.0,0.00
352.0,0.01
350.0,0.01
348.0,0.01
346.0,0.01
344.0,0.01
342.0,0.01
340.0,0.01
338.0,0.01
336.0,0.01
334.0,0.01
332.0,0.01
330.0,0.01
328.0,0.01
326.0,0.01
324.0,0.01
322.0,0.01
320.0,0.02
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
248.0,0.00
246.0,0.00
244.0,0.00
242.0,0.00
240.0,0.00
238.0,0.00
236.0,0.00
234.0,0.00
232.0,0.00
230.0,0.00
228.0,0.00
226.0,0.00
224.0,0.00
222.0,0.00
220.0,0.00
218.0,0.00
216.0,0.00
214.0,0.00
212.0,0.00
210.0,0.00
208.0,0.00
206.0,0.01
204.0,0.01
202.0,0.01
200.0,0.02
